,pruning threshold,stopping probability,tile drop rate,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
35,5.85,0.005,0.24962,0.01,1.0,-0.29705,0.29258,1.3944,7.0,20.0,1.7354299999999998,Tile dropping,human-vs-human,8,1,,
36,2.4903,0.0029575,0.077244,0.019812,1.0308,0.40844,0.80266,1.0807,3.5056,14.522,2.6949300000000003,Tile dropping,human-vs-human,8,2,,
37,7.9461,0.001,0.2,0.02,0.89216,0.31331,0.9653,0.6,2.5,15.0,1.6238199999999998,Tile dropping,human-vs-human,8,3,,
38,10.0,0.010652,0.10927,0.028244,1.1563,0.42902,0.36471,0.66792,2.612,16.702,1.97477,Tile dropping,human-vs-human,8,4,,
39,3.9224,0.001,0.2,0.02,1.5504,0.4,0.52131,0.5,2.5,15.0,1.9285,Tile dropping,human-vs-human,8,5,,
40,3.8875,0.0084502,0.53828,0.018196,1.1667,0.60173,0.93465,0.43334,1.5433,40.0,2.6956800000000003,Tile dropping,human-vs-human,9,1,,
41,5.0,0.0099999,0.2,0.01,1.0,0.4,1.0,0.22986,2.5,13.333,3.16476,Tile dropping,human-vs-human,9,2,,
42,4.8905,0.01,0.2,0.01,1.0,0.53333,0.8,0.3,2.5,15.0,3.39186,Tile dropping,human-vs-human,9,3,,
43,5.2642,0.02,0.2,0.02,1.0,0.8,1.0,0.3,2.5,30.0,2.39905,Tile dropping,human-vs-human,9,4,,
44,5.0,0.02,0.3,0.02,1.0,0.8,1.0,0.3,2.5,15.0,2.43246,Tile dropping,human-vs-human,9,5,,
45,5.9698,0.0096924,0.12422,0.019032,1.2129,0.35474,0.50082,0.65061,1.671,15.635,1.95494,Tile dropping,human-vs-human,10,1,,
46,5.0,0.005,0.1,0.02,1.0,0.66727,1.1034,0.3,2.5,15.0,3.1640800000000002,Tile dropping,human-vs-human,10,2,,
47,5.3445,0.005,0.41649,0.018516,1.0,0.68723,1.0,0.66667,3.3333,20.0,1.58682,Tile dropping,human-vs-human,10,3,,
48,6.2307,0.001,0.20405,0.01,0.98453,0.42896,0.29083,0.69769,1.1637,15.331,2.3875900000000003,Tile dropping,human-vs-human,10,4,,
49,6.6927,0.04,0.2,0.02,1.5,0.8,1.0,0.3,2.5,15.0,3.35935,Tile dropping,human-vs-human,10,5,,
50,10.0,0.001,0.1,0.03,1.1667,0.8,1.0,0.18784,2.5,15.0,2.00189,Tile dropping,human-vs-human,11,1,,
51,7.6049,0.0021486,0.2,0.015,1.0,0.8,1.1111,0.3,5.0,15.0,1.76794,Tile dropping,human-vs-human,11,2,,
52,2.5125,0.0055,0.083333,0.015,1.2188,1.025,0.75,0.4625,2.9375,17.0,1.7445899999999999,Tile dropping,human-vs-human,11,3,,
53,8.7778,0.001,0.19749,0.026043,1.0073,0.79999,1.0,0.33334,2.9629,20.0,1.8931499999999999,Tile dropping,human-vs-human,11,4,,
54,7.4152,0.001,0.15,0.023078,1.0,1.0667,0.86121,0.3,2.5,15.0,1.70316,Tile dropping,human-vs-human,11,5,,
55,3.0,0.001,0.10151,0.03198,1.0,0.8,0.42361,0.20415,3.5,20.0,1.8311400000000002,Tile dropping,human-vs-human,12,1,,
56,7.0,0.001,0.099999,0.015948,1.0,0.8,-0.041913,0.6,3.3334,15.0,1.53811,Tile dropping,human-vs-human,12,2,,
57,6.008,0.0021723,0.082535,0.020603,1.0042,1.071,-0.2508,0.30193,1.6413,29.962,2.1101,Tile dropping,human-vs-human,12,3,,
