,pruning threshold,stopping probability,feature drop rate,lapse rate,active scaling constant,center weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
0,3.4162,0.001,0.17685,0.02,0.50752,0.72862,0.0,4.773,15.0,2.43256,No connected 2-in-a-row,human-vs-human,1,1,,
1,3.0,0.001,0.3,0.01,0.25,0.8,0.3,3.5,15.0,1.95395,No connected 2-in-a-row,human-vs-human,1,2,,
2,2.0061,0.001,0.19075,0.04,0.56315,0.68312,0.0,2.5,15.0,2.22795,No connected 2-in-a-row,human-vs-human,1,3,,
3,9.9999,0.001,0.4,0.02,1.0,0.8,0.3,2.5,4.8445,2.0208199999999996,No connected 2-in-a-row,human-vs-human,1,4,,
4,5.0,0.001,0.21932,0.04,0.99999,0.4,0.3,2.5,15.0,2.4502599999999997,No connected 2-in-a-row,human-vs-human,1,5,,
5,9.0181,0.0077008,0.23403,0.017577,2.168,0.57151,0.60131,2.6578,19.053,1.97513,No connected 2-in-a-row,human-vs-human,2,1,,
6,5.0,0.001,0.31911,0.01,1.4907,0.8,0.5,2.5,15.0,1.6796000000000002,No connected 2-in-a-row,human-vs-human,2,2,,
7,5.0,0.001,0.22003,0.01,1.2093,0.62672,0.3,2.5,10.0,2.03374,No connected 2-in-a-row,human-vs-human,2,3,,
8,4.739,0.01,0.21111,0.017531,1.0422,0.81715,0.3,2.5,15.0,2.40369,No connected 2-in-a-row,human-vs-human,2,4,,
9,4.7278,0.01,0.2,0.02,1.281,0.8,0.3,2.5,15.0,2.20839,No connected 2-in-a-row,human-vs-human,2,5,,
10,2.9043,0.0023333,0.23726,0.02,1.0367,1.158,0.6,3.3333,15.0,1.9775899999999997,No connected 2-in-a-row,human-vs-human,3,1,,
11,5.0,0.002124,0.3237,0.03,1.1667,1.1542,0.4,3.5,20.0,1.8764800000000001,No connected 2-in-a-row,human-vs-human,3,2,,
12,6.4666,0.0080638,0.18435,0.016986,0.86812,0.93102,0.25056,4.7362,6.7407,2.16509,No connected 2-in-a-row,human-vs-human,3,3,,
13,3.0,0.001,0.22041,0.02,0.5,1.1243,0.3,2.5858,15.0,1.8794800000000003,No connected 2-in-a-row,human-vs-human,3,4,,
14,3.0871,0.001,0.16363,0.021888,0.89028,1.0633,0.49013,3.0119,12.66,2.1544,No connected 2-in-a-row,human-vs-human,3,5,,
15,5.5689,0.0034409,0.31291,0.023453,1.269,1.2701,0.042609,4.1192,31.585,2.3069300000000004,No connected 2-in-a-row,human-vs-human,4,1,,
16,3.6667,0.0013163,0.4,0.016124,1.229,1.2677,0.26364,2.5,21.111,2.50239,No connected 2-in-a-row,human-vs-human,4,2,,
17,2.5708,0.0037977,0.38454,0.019444,1.0488,1.1419,0.17853,2.5486,9.5544,2.20582,No connected 2-in-a-row,human-vs-human,4,3,,
18,5.0,0.005,0.44524,0.019691,1.8859,1.0,0.5,2.5,20.0,1.8534300000000001,No connected 2-in-a-row,human-vs-human,4,4,,
19,3.0,0.005,0.3,0.02,1.0,1.0,0.3,2.5,15.0,2.44587,No connected 2-in-a-row,human-vs-human,4,5,,
20,3.3318,0.001,0.15781,0.014766,0.25,0.78188,0.47222,7.3653,15.296,1.6495000000000002,No connected 2-in-a-row,human-vs-human,5,1,,
21,10.0,0.001,0.34033,0.01,1.5364,0.5,0.47896,3.375,19.0,1.97344,No connected 2-in-a-row,human-vs-human,5,2,,
22,8.0,0.001,0.22218,0.019606,1.8013,0.8,0.3,3.3333,15.0,2.3012699999999997,No connected 2-in-a-row,human-vs-human,5,3,,
23,7.0,0.0079234,0.25667,0.02,0.79409,0.64874,0.3,5.0,30.0,1.5210000000000001,No connected 2-in-a-row,human-vs-human,5,4,,
24,10.0,0.001,0.20019,0.022118,0.99925,0.79922,0.30028,5.0015,8.4282,1.58046,No connected 2-in-a-row,human-vs-human,5,5,,
25,4.9351,0.001,0.18797,0.013337,0.99953,0.80048,0.3997,3.4969,5.6762,1.85895,No connected 2-in-a-row,human-vs-human,6,1,,
26,5.0,0.001,0.2,0.02,1.0,0.8,0.3,2.5,15.0,1.54237,No connected 2-in-a-row,human-vs-human,6,2,,
27,2.7214,0.001,0.069775,0.029144,0.59997,1.0256,0.14997,3.3001,11.343,1.5873399999999998,No connected 2-in-a-row,human-vs-human,6,3,,
28,5.0,0.001,0.11331,0.03,0.84812,0.8,0.6,2.5,15.0,0.9534780000000002,No connected 2-in-a-row,human-vs-human,6,4,,
29,2.9819,0.001,0.11167,0.030046,0.49537,0.99074,0.49306,3.7381,29.926,1.78671,No connected 2-in-a-row,human-vs-human,6,5,,
30,4.9062,0.010016,0.34722,0.020003,2.0008,0.7992,0.14193,2.4984,15.007,2.0917199999999996,No connected 2-in-a-row,human-vs-human,7,1,,
31,5.357,0.0016667,0.34546,0.01,1.0,0.8,0.014306,5.3971,15.0,2.3575900000000005,No connected 2-in-a-row,human-vs-human,7,2,,
32,4.2686,0.0081414,0.10578,0.02026,1.9747,0.81709,0.10525,2.5506,30.231,3.49422,No connected 2-in-a-row,human-vs-human,7,3,,
33,2.9463,0.001,0.20422,0.060473,1.1685,0.53272,0.3,2.5,30.0,1.8096400000000004,No connected 2-in-a-row,human-vs-human,7,4,,
34,3.9942,0.001,0.48502,0.01,1.001,0.52583,0.029347,5.1386,31.678,1.9647999999999999,No connected 2-in-a-row,human-vs-human,7,5,,
35,9.1476,0.001,0.12124,0.023419,1.2684,0.49035,1.5654,4.2123,16.035,1.70294,No connected 2-in-a-row,human-vs-human,8,1,,
36,7.3806,0.0024594,0.10556,0.03,2.0,0.55195,0.5,3.3333,15.0,2.8904099999999997,No connected 2-in-a-row,human-vs-human,8,2,,
37,6.5728,0.0010053,0.37448,0.021644,1.3129,0.54348,0.88624,3.4535,3.9582,1.41485,No connected 2-in-a-row,human-vs-human,8,3,,
38,3.0017,0.0039184,0.19348,0.01,1.0006,0.80124,0.99931,4.9976,15.011,1.94341,No connected 2-in-a-row,human-vs-human,8,4,,
39,6.4761,0.001,0.39986,0.01,1.3256,0.4063,0.68799,4.2076,3.409,1.9630299999999998,No connected 2-in-a-row,human-vs-human,8,5,,
40,4.4536,0.01,0.2,0.017195,1.0,0.36544,0.3,2.0905,15.0,2.71699,No connected 2-in-a-row,human-vs-human,9,1,,
41,3.0,0.001,0.3,0.02,0.3973,0.41577,0.4,2.5,5.4849,3.1268599999999998,No connected 2-in-a-row,human-vs-human,9,2,,
42,3.0,0.0073415,0.4,0.03,0.54906,0.47255,0.5,2.5,20.0,3.2781400000000005,No connected 2-in-a-row,human-vs-human,9,3,,
43,7.4785,0.01,0.4,0.022222,1.0,0.56844,1.0,1.5,-226.66,2.86473,No connected 2-in-a-row,human-vs-human,9,4,,
44,9.3006,0.020235,0.22273,0.033821,2.6738,0.5229,0.40579,1.4884,14.926,2.54825,No connected 2-in-a-row,human-vs-human,9,5,,
45,7.2466,0.01,0.18019,0.016786,1.2767,0.54893,0.3,1.5,11.667,2.3285000000000005,No connected 2-in-a-row,human-vs-human,10,1,,
46,6.1125,0.001,0.36392,0.01,1.1652,0.77825,0.30093,1.8308,15.011,2.6259099999999997,No connected 2-in-a-row,human-vs-human,10,2,,
47,3.0,0.007738,0.3,0.02,2.0,0.8,0.6,1.5,30.0,1.64019,No connected 2-in-a-row,human-vs-human,10,3,,
48,7.8519,0.0072181,0.28627,0.015687,1.8113,0.60589,0.44019,2.1226,13.275,2.5802799999999997,No connected 2-in-a-row,human-vs-human,10,4,,
49,7.0,0.004251,0.22456,0.021585,1.0,0.46615,0.5,2.5,7.3659,2.40848,No connected 2-in-a-row,human-vs-human,10,5,,
50,5.1793,0.001,0.24525,0.020671,1.0,1.1788,0.5,2.5,15.0,2.2137800000000003,No connected 2-in-a-row,human-vs-human,11,1,,
51,5.0,0.001,0.4,0.019705,1.0,1.0667,0.17823,2.7229,20.0,1.7579700000000003,No connected 2-in-a-row,human-vs-human,11,2,,
52,3.8799,0.001,0.27042,0.011111,1.2101,0.9865,0.33333,2.7778,15.0,1.6717300000000002,No connected 2-in-a-row,human-vs-human,11,3,,
53,3.0,0.001,0.2,0.02,0.95294,0.86755,0.5,2.5,10.0,1.8067600000000001,No connected 2-in-a-row,human-vs-human,11,4,,
54,8.4986,0.001,0.24074,0.01,1.0687,1.5833,0.625,4.2084,10.582,2.03198,No connected 2-in-a-row,human-vs-human,11,5,,
55,10.0,0.001,0.2,0.02,1.0,0.8,0.3,2.5,15.0,1.6427400000000003,No connected 2-in-a-row,human-vs-human,12,1,,
56,6.0,0.01,0.17581,0.03,0.875,0.8,0.3,2.5,15.0,1.39662,No connected 2-in-a-row,human-vs-human,12,2,,
57,5.275,0.001,0.2,0.01,1.0059,0.8,0.4,1.2707,15.0,2.11576,No connected 2-in-a-row,human-vs-human,12,3,,
58,6.216,0.0046301,0.11258,0.022517,0.49797,0.97484,0.34378,4.1465,15.171,2.3559799999999997,No connected 2-in-a-row,human-vs-human,12,4,,
59,9.9999,0.001,0.14448,0.024091,0.52077,0.94057,0.24714,2.8406,16.689,2.0407499999999996,No connected 2-in-a-row,human-vs-human,12,5,,
60,8.367,0.0078908,0.24996,0.02495,1.1093,0.58444,0.38119,3.2273,-15.52,2.20707,No connected 2-in-a-row,human-vs-human,13,1,,
61,2.5524,0.011684,0.19993,0.01,1.2333,0.80072,0.29948,2.5014,-134.99,2.2659000000000002,No connected 2-in-a-row,human-vs-human,13,2,,
62,5.0,0.001,0.1,0.01,1.0,0.74258,0.11111,2.5,-25.908,2.6279,No connected 2-in-a-row,human-vs-human,13,3,,
63,4.9044,0.001,0.31945,0.020132,0.99469,0.82917,0.27893,3.9433,-7.5608,2.09785,No connected 2-in-a-row,human-vs-human,13,4,,
64,10.0,0.013899,0.14732,0.019124,1.0119,0.83863,0.3856,4.5743,-136.05,2.38202,No connected 2-in-a-row,human-vs-human,13,5,,
65,3.8933,0.0048912,0.30421,0.016112,1.0495,0.36037,0.22008,3.7433,27.45,1.72915,No connected 2-in-a-row,human-vs-human,14,1,,
66,2.9893,0.001,0.4,0.014605,1.4375,0.28334,0.29167,2.375,11.0,2.24909,No connected 2-in-a-row,human-vs-human,14,2,,
67,3.126,0.001,0.2,0.02,1.0,0.4,0.3,3.2621,15.0,2.36742,No connected 2-in-a-row,human-vs-human,14,3,,
68,5.9997,0.001,0.29998,0.01,1.3421,0.26453,0.49996,2.7776,-22.279,2.1576,No connected 2-in-a-row,human-vs-human,14,4,,
69,7.2704,0.0022835,0.37975,0.036499,1.5331,0.1623,0.16978,3.9276,-14.944,1.6155000000000002,No connected 2-in-a-row,human-vs-human,14,5,,
70,6.2693,0.001,0.15001,0.01,0.93971,0.80521,1.1973,2.5859,15.0,1.72854,No connected 2-in-a-row,human-vs-human,15,1,,
71,5.7995,0.0049635,0.19441,0.01,0.80555,0.48652,0.66651,2.6976,30.971,1.6602299999999999,No connected 2-in-a-row,human-vs-human,15,2,,
72,4.7278,0.001,0.2,0.02,1.0411,1.0667,0.6,2.5,15.0,1.7791599999999999,No connected 2-in-a-row,human-vs-human,15,3,,
73,4.3871,0.0034428,0.1,0.023761,0.78125,0.575,0.4625,2.9375,13.0,2.3790600000000004,No connected 2-in-a-row,human-vs-human,15,4,,
74,10.0,0.001,0.2,0.035,1.0,0.68705,0.6,2.5,15.0,2.3899700000000004,No connected 2-in-a-row,human-vs-human,15,5,,
75,8.7478,0.001,0.28444,0.021119,1.9978,0.88817,0.451,2.5035,9.2989,2.48501,No connected 2-in-a-row,human-vs-human,16,1,,
76,7.2369,0.005,0.18868,0.022541,2.0,0.8,0.5,2.5,8.2217,2.21309,No connected 2-in-a-row,human-vs-human,16,2,,
77,3.9044,0.01,0.11667,0.019759,1.2388,0.68022,0.3,2.5,15.0,1.4792599999999998,No connected 2-in-a-row,human-vs-human,16,3,,
78,5.3915,0.0030388,0.093742,0.019776,1.9229,0.7981,0.38834,2.1526,20.012,1.7361499999999999,No connected 2-in-a-row,human-vs-human,16,4,,
79,5.0,0.001,0.4,0.02036,1.5506,0.59805,0.5,2.5,15.0,1.6415599999999997,No connected 2-in-a-row,human-vs-human,16,5,,
80,10.0,0.019994,0.10003,0.019997,1.0001,0.79987,0.3001,2.5003,15.001,2.13795,No connected 2-in-a-row,human-vs-human,17,1,,
81,6.4256,0.010001,0.20176,0.020003,1.0001,0.57484,0.21299,2.4998,14.999,2.73622,No connected 2-in-a-row,human-vs-human,17,2,,
82,5.0,0.01,0.2,0.02,1.0,0.8,0.3,2.5,15.0,2.5517700000000003,No connected 2-in-a-row,human-vs-human,17,3,,
83,7.0,0.02,0.2,0.022408,0.95833,0.53333,0.3,2.5,15.0,2.23414,No connected 2-in-a-row,human-vs-human,17,4,,
84,6.0,0.005,0.26742,0.02,1.0,0.8,0.3,2.5,15.0,2.8028399999999998,No connected 2-in-a-row,human-vs-human,17,5,,
85,4.5446,0.0098549,0.10732,0.018874,0.96547,0.40564,0.29476,1.5473,16.595,1.99656,No connected 2-in-a-row,human-vs-human,18,1,,
86,10.0,0.0047778,0.2,0.02,0.97072,0.49144,0.4,2.5,10.163,2.58265,No connected 2-in-a-row,human-vs-human,18,2,,
87,2.9992,0.001,0.19984,0.02211,1.0003,0.39972,0.29974,2.4007,200.04,2.49253,No connected 2-in-a-row,human-vs-human,18,3,,
88,5.0,0.0072533,0.21759,0.019254,0.36419,0.43931,0.32199,2.3729,12.985,2.41847,No connected 2-in-a-row,human-vs-human,18,4,,
89,10.0,0.0099871,0.19969,0.01,0.94652,0.20518,0.30164,2.4831,14.923,2.85105,No connected 2-in-a-row,human-vs-human,18,5,,
90,3.1226,0.001,0.11278,0.017099,0.99988,0.80001,-0.0033601,2.4998,15.001,1.85076,No connected 2-in-a-row,human-vs-human,19,1,,
91,5.0,0.001,0.06623,0.01,1.0,0.8,0.3,2.5,15.0,1.57469,No connected 2-in-a-row,human-vs-human,19,2,,
92,4.6533,0.001,0.090456,0.019095,1.0081,1.1615,0.45431,3.3739,15.0,1.6170000000000002,No connected 2-in-a-row,human-vs-human,19,3,,
93,8.239,0.001,0.15781,0.016422,1.4008,0.89844,0.35566,2.5076,17.447,1.34862,No connected 2-in-a-row,human-vs-human,19,4,,
94,6.3702,0.001065,0.01415,0.010859,0.88165,0.53517,0.60214,3.3135,18.719,0.7817970000000001,No connected 2-in-a-row,human-vs-human,19,5,,
95,6.4456,0.0049101,0.18889,0.029848,0.98612,0.8,0.33418,2.7778,15.0,1.8993699999999998,No connected 2-in-a-row,human-vs-human,20,1,,
96,7.1021,0.001,0.38441,0.01,1.0464,0.75225,0.28148,4.3327,14.576,2.16848,No connected 2-in-a-row,human-vs-human,20,2,,
97,5.0,0.001,0.1,0.02,1.0,1.0,0.3,2.5,15.0,2.09861,No connected 2-in-a-row,human-vs-human,20,3,,
98,4.347,0.001,0.16667,0.01,1.0,0.65183,0.3,2.5,15.0,2.1436,No connected 2-in-a-row,human-vs-human,20,4,,
99,5.3887,0.0039459,0.21059,0.021561,1.1613,0.62557,0.38565,3.5639,16.054,1.53547,No connected 2-in-a-row,human-vs-human,20,5,,
100,3.1154,0.010008,0.10924,0.01,1.0,1.4749,0.24119,3.5,14.507,1.42538,No connected 2-in-a-row,human-vs-human,21,1,,
101,5.0,0.0049256,0.1,0.03,0.90536,1.6,0.6,5.0,20.0,1.6055199999999998,No connected 2-in-a-row,human-vs-human,21,2,,
102,9.9999,0.001,0.15575,0.02,0.25,1.17,0.48931,5.0356,30.163,1.2985900000000001,No connected 2-in-a-row,human-vs-human,21,3,,
103,4.6392,0.001,0.078973,0.022446,0.32115,1.4899,-0.38724,3.4238,14.022,1.47109,No connected 2-in-a-row,human-vs-human,21,4,,
104,4.2559,0.001,0.08252,0.01,0.45994,1.2569,-0.0051372,3.5231,15.082,1.34076,No connected 2-in-a-row,human-vs-human,21,5,,
105,3.3817,0.001,0.34369,0.038507,0.38206,0.4963,-2.2855,3.2639,15.445,2.50681,No connected 2-in-a-row,human-vs-human,22,1,,
106,5.2013,0.01,0.0,0.02,1.0,1.1833,0.16251,2.0667,6.8414,2.16028,No connected 2-in-a-row,human-vs-human,22,2,,
107,3.0,0.001,0.30668,0.01,0.25,1.1013,-1.0357,3.392,20.0,1.5735899999999998,No connected 2-in-a-row,human-vs-human,22,3,,
108,3.55,0.001,0.28265,0.02,1.0,0.8,0.3,2.5,15.0,1.83264,No connected 2-in-a-row,human-vs-human,22,4,,
109,10.0,0.006492,0.27092,0.023546,0.84486,0.95958,-0.65239,1.767,16.418,2.0158899999999997,No connected 2-in-a-row,human-vs-human,22,5,,
110,3.0778,0.001,0.2,0.03,1.0,0.4,-6.0555e-06,2.5,30.0,2.2378600000000004,No connected 2-in-a-row,human-vs-human,23,1,,
111,5.8178,0.0089283,0.26565,0.023282,1.467,0.65229,-0.77665,2.7872,16.313,2.63454,No connected 2-in-a-row,human-vs-human,23,2,,
112,6.0,0.005,0.28789,0.02,1.062,0.49573,-2.7,3.3333,15.0,2.47314,No connected 2-in-a-row,human-vs-human,23,3,,
113,1.4856,0.001,0.16667,0.039879,0.66667,0.4,-0.25642,2.6813,30.0,1.9912400000000001,No connected 2-in-a-row,human-vs-human,23,4,,
114,7.3285,0.001,0.1963,0.17973,1.0,0.8,-8.1705,7.0,15.0,2.35523,No connected 2-in-a-row,human-vs-human,23,5,,
115,10.0,0.010906,0.28115,0.01,1.2056,0.434,0.24993,2.7493,-10.191,2.23283,No connected 2-in-a-row,human-vs-human,24,1,,
116,9.1768,0.01,0.14136,0.02,2.5663,0.17177,0.3,1.4171,-21.172,2.68283,No connected 2-in-a-row,human-vs-human,24,2,,
117,2.8389,0.0053141,0.52587,0.021762,1.1667,0.030981,0.4,2.5,15.0,2.56861,No connected 2-in-a-row,human-vs-human,24,3,,
118,2.8389,0.0031111,0.51286,0.023177,1.0,-0.54095,0.5,3.3333,15.0,2.89665,No connected 2-in-a-row,human-vs-human,24,4,,
119,6.0976,0.0049696,0.61443,0.018768,2.1373,0.22759,0.24886,2.0112,-132.77,2.71942,No connected 2-in-a-row,human-vs-human,24,5,,
120,5.8944,0.0058333,0.29514,0.02,1.0,0.4,0.3,3.5,10.0,1.8595199999999998,No connected 2-in-a-row,human-vs-human,25,1,,
121,5.0,0.001,0.4,0.01,1.2062,0.8,0.3,2.5,15.0,3.08724,No connected 2-in-a-row,human-vs-human,25,2,,
122,5.9819,0.010167,0.31959,0.019815,1.0081,0.7919,0.29398,4.0182,9.9491,1.91886,No connected 2-in-a-row,human-vs-human,25,3,,
123,5.6686,0.01,0.2,0.01,1.3044,0.64816,0.37129,2.5,6.83,2.1406099999999997,No connected 2-in-a-row,human-vs-human,25,4,,
124,6.107,0.004561,0.39441,0.020481,1.0714,0.75061,0.26433,3.5605,4.7144,1.7688099999999998,No connected 2-in-a-row,human-vs-human,25,5,,
125,6.0566,0.0066897,0.27484,0.03,0.80317,1.1036,0.33333,2.4971,15.0,1.7345,No connected 2-in-a-row,human-vs-human,26,1,,
126,3.8843,0.0032739,0.25,0.0175,1.1094,0.78273,0.24728,2.7188,14.0,1.5712800000000002,No connected 2-in-a-row,human-vs-human,26,2,,
127,7.4626,0.001,0.48524,0.017274,0.99517,0.82496,0.27225,3.3332,18.402,2.55657,No connected 2-in-a-row,human-vs-human,26,3,,
128,0.8764,0.012127,0.2,0.017876,0.5,1.0667,0.27081,2.5,10.0,2.2163,No connected 2-in-a-row,human-vs-human,26,4,,
129,10.0,0.001,0.29141,0.01,1.0,0.8,0.3,2.5,15.0,2.1997699999999996,No connected 2-in-a-row,human-vs-human,26,5,,
130,10.0,0.001,0.19081,0.01,0.99734,0.78296,0.42692,3.3506,14.993,1.9059700000000004,No connected 2-in-a-row,human-vs-human,27,1,,
131,7.0,0.005,0.2,0.01,0.78785,1.0,0.3,3.5,15.0,1.51737,No connected 2-in-a-row,human-vs-human,27,2,,
132,5.0,0.0058333,0.3,0.022222,2.0,0.8,0.3,2.8333,15.0,1.35463,No connected 2-in-a-row,human-vs-human,27,3,,
133,4.1833,0.001,0.2,0.01,1.0,0.8,0.3,3.3333,15.0,3.0469100000000005,No connected 2-in-a-row,human-vs-human,27,4,,
134,4.497,0.0063485,0.15847,0.024679,1.1775,0.98257,0.43186,3.2221,16.623,2.3310299999999997,No connected 2-in-a-row,human-vs-human,27,5,,
135,10.0,0.005,0.11282,0.03,2.2829,1.0,0.3,1.8333,12.407,1.5342,No connected 2-in-a-row,human-vs-human,28,1,,
136,10.0,0.0029862,0.21667,0.017711,1.3162,0.73084,-0.32326,3.4062,5.4459,1.81448,No connected 2-in-a-row,human-vs-human,28,2,,
137,5.663,0.0058501,0.098474,0.017366,1.2671,1.1411,0.5,2.7778,16.667,1.166879,No connected 2-in-a-row,human-vs-human,28,3,,
138,5.3113,0.001,0.0,0.02,1.0,1.0667,0.3,2.5,9.2117,2.50082,No connected 2-in-a-row,human-vs-human,28,4,,
139,5.5743,0.0066431,0.075665,0.024366,1.191,0.99626,0.15824,2.882,16.734,1.35147,No connected 2-in-a-row,human-vs-human,28,5,,
140,5.0,0.005,0.2951,0.022594,1.4161,0.70536,0.3,2.5,-47.048,2.6586,No connected 2-in-a-row,human-vs-human,29,1,,
141,8.9749,0.018304,0.7,0.01,2.7063,0.35,0.625,3.375,11.0,2.58354,No connected 2-in-a-row,human-vs-human,29,2,,
142,5.1823,0.0065639,0.55051,0.023366,1.49,0.49891,0.30015,3.5533,3.0742,2.48554,No connected 2-in-a-row,human-vs-human,29,3,,
143,8.9444,0.016911,0.28335,0.017924,1.8765,0.5748,0.34727,2.7236,10.16,2.53138,No connected 2-in-a-row,human-vs-human,29,4,,
144,3.0,0.0036214,0.49019,0.019247,1.0556,0.51617,0.66667,2.5476,-8.3218,2.49912,No connected 2-in-a-row,human-vs-human,29,5,,
145,9.0,0.011667,0.4,0.026667,1.676,0.44444,0.32876,2.5,4.8074,1.8491900000000001,No connected 2-in-a-row,human-vs-human,30,1,,
146,9.0032,0.0093217,0.19348,0.023076,3.6705,1.0484,0.419,1.4275,21.193,2.3390999999999997,No connected 2-in-a-row,human-vs-human,30,2,,
147,10.0,0.011526,0.4,0.017778,2.016,0.63755,0.16293,2.5,15.0,2.2677,No connected 2-in-a-row,human-vs-human,30,3,,
148,10.0,0.010011,0.36764,0.01,2.2607,0.60826,0.3,2.5,26.667,2.4337299999999997,No connected 2-in-a-row,human-vs-human,30,4,,
149,9.9999,0.0042842,0.52448,0.01543,2.7703,0.58682,0.44604,2.9145,16.895,2.0238199999999997,No connected 2-in-a-row,human-vs-human,30,5,,
150,9.3866,0.001,0.13333,0.02,1.0498,0.92885,0.24687,3.8591,14.061,1.47089,No connected 2-in-a-row,human-vs-human,31,1,,
151,5.2502,0.001,0.101,0.01,0.48818,0.78599,-0.048953,7.4105,20.097,1.84838,No connected 2-in-a-row,human-vs-human,31,2,,
152,9.9999,0.001,0.1,0.01,1.2213,0.8,-0.00079515,3.3772,20.0,1.70901,No connected 2-in-a-row,human-vs-human,31,3,,
153,7.0,0.001,0.1,0.015,1.0359,1.0667,0.3,3.5,30.0,1.60054,No connected 2-in-a-row,human-vs-human,31,4,,
154,6.9994,0.001,0.19994,0.019997,1.0001,0.87027,0.3001,4.6389,15.001,1.4409899999999998,No connected 2-in-a-row,human-vs-human,31,5,,
155,5.8026,0.001,0.1,0.02,0.5,1.3746,0.3,3.9085,15.0,1.7022100000000002,No connected 2-in-a-row,human-vs-human,32,1,,
156,4.797,0.001,0.10056,0.01,0.93977,1.3731,0.092349,2.2879,20.022,1.064259,No connected 2-in-a-row,human-vs-human,32,2,,
157,5.9258,0.001,2.7897e-17,0.030528,0.53221,1.3239,0.28146,3.3666,10.316,1.38657,No connected 2-in-a-row,human-vs-human,32,3,,
158,5.0,0.001,0.2,0.015,1.0,1.2122,0.3,2.5,15.0,1.53681,No connected 2-in-a-row,human-vs-human,32,4,,
159,6.2101,0.001,0.2,0.01,0.5,1.6,0.15282,3.5,40.0,1.43526,No connected 2-in-a-row,human-vs-human,32,5,,
160,3.0,0.001,0.3,0.016306,1.3438,0.8,0.20489,2.9978,15.0,1.7158000000000002,No connected 2-in-a-row,human-vs-human,33,1,,
161,5.4517,0.001,0.21389,0.020711,1.0304,0.83125,0.32257,6.9219,9.0042,2.1288499999999995,No connected 2-in-a-row,human-vs-human,33,2,,
162,3.7362,0.001,0.2,0.03,1.0168,0.8,0.3,5.0,7.3317,1.75962,No connected 2-in-a-row,human-vs-human,33,3,,
163,4.9431,0.0036667,0.2796,0.018092,1.817,0.93012,0.37771,3.6935,7.8074,2.11742,No connected 2-in-a-row,human-vs-human,33,4,,
164,3.0,0.001,0.083333,0.01,1.0,0.8,0.3,2.8968,15.0,2.11355,No connected 2-in-a-row,human-vs-human,33,5,,
165,7.9804,0.001,0.26279,0.018333,1.0,1.545,0.11945,3.8399,33.333,1.3826500000000002,No connected 2-in-a-row,human-vs-human,34,1,,
166,6.0,0.001,0.2,0.04,1.0,1.1955,0.1129,3.6,15.0,1.7007400000000001,No connected 2-in-a-row,human-vs-human,34,2,,
167,6.135,0.001,0.29582,0.019046,0.98789,1.5045,0.33383,4.2634,14.446,1.5388,No connected 2-in-a-row,human-vs-human,34,3,,
168,7.0631,0.003019,0.096944,0.019747,1.0696,1.4312,0.48925,4.6362,10.065,1.99459,No connected 2-in-a-row,human-vs-human,34,4,,
169,5.2634,0.001,0.2,0.015,1.0,1.0,0.3,3.9038,15.0,1.66359,No connected 2-in-a-row,human-vs-human,34,5,,
170,5.1973,0.001,0.31391,0.012871,1.2036,0.78308,-0.0093991,2.4671,20.059,1.7918299999999998,No connected 2-in-a-row,human-vs-human,35,1,,
171,3.0,0.001,0.1,0.01,1.0,0.8,0.3,2.5,7.7051,2.14771,No connected 2-in-a-row,human-vs-human,35,2,,
172,5.0,0.001,0.18953,0.01,1.0,0.8,0.3,2.5,15.0,2.2278399999999996,No connected 2-in-a-row,human-vs-human,35,3,,
173,6.4114,0.001,0.0,0.02013,1.1848,0.80724,-0.63011,2.5181,29.917,1.8277899999999998,No connected 2-in-a-row,human-vs-human,35,4,,
174,4.7306,0.001,0.17975,0.01,1.1332,0.71782,0.16948,2.6598,14.27,2.40584,No connected 2-in-a-row,human-vs-human,35,5,,
175,3.0,0.005,0.1,0.02,1.0,0.8,0.3,2.5,15.0,1.8930600000000002,No connected 2-in-a-row,human-vs-human,36,1,,
176,3.0902,0.001,0.20044,0.03,1.0,0.8,0.3,2.5,15.0,1.5323699999999998,No connected 2-in-a-row,human-vs-human,36,2,,
177,5.3686,0.001,0.32311,0.022499,1.0031,1.0763,0.31981,3.4923,15.822,1.9835400000000003,No connected 2-in-a-row,human-vs-human,36,3,,
178,3.0,0.0029491,0.16667,0.019444,1.0,0.8,0.3,2.5,15.0,1.91027,No connected 2-in-a-row,human-vs-human,36,4,,
179,3.2834,0.0056932,0.18889,0.02,1.0,1.3333,-0.24096,2.5,15.0,2.2414499999999995,No connected 2-in-a-row,human-vs-human,36,5,,
180,10.0,0.0050049,0.29964,0.040036,1.9999,0.13346,0.099159,2.5011,14.995,2.7241299999999997,No connected 2-in-a-row,human-vs-human,37,1,,
181,6.6274,0.0097375,0.73614,0.01,1.8906,0.46827,0.43211,3.2187,19.212,2.3598500000000002,No connected 2-in-a-row,human-vs-human,37,2,,
182,4.3176,0.014243,0.38977,0.039081,1.0106,0.15333,0.2759,3.2741,16.369,1.9734099999999999,No connected 2-in-a-row,human-vs-human,37,3,,
183,5.6633,0.011842,0.16473,0.021405,1.3918,0.20873,0.25767,2.4747,15.087,2.2439000000000004,No connected 2-in-a-row,human-vs-human,37,4,,
184,7.2441,0.012132,0.43646,0.02,1.0,0.1625,0.0,7.0,10.0,2.54844,No connected 2-in-a-row,human-vs-human,37,5,,
