,stopping probability,feature drop rate,lapse rate,exploration constant,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
182,0.01147,0.286,0.03,0.5,0.36793,-0.36461,2.3212,1.0,5.0,20.0,2.04709,MCTS,human-vs-human,37,3,,
183,0.030985,0.38041,0.01,0.43536,0.97447,-0.17187,0.89787,0.36604,2.4354,14.636,2.26724,MCTS,human-vs-human,37,4,,
184,0.047461,0.28096,0.01,0.0,0.68491,-0.31204,1.0957,0.33593,2.3326,15.765,2.4326499999999998,MCTS,human-vs-human,37,5,,
185,0.01,0.3,0.021331,1.2111e-05,0.25,-0.85141,-1.2955,0.13148,2.5,21.21,2.40881,MCTS,human-vs-human,38,1,,
186,0.02,0.2496,0.022278,1.2111e-05,0.5,-0.49715,0.25291,0.75564,2.5,30.0,2.36229,MCTS,human-vs-human,38,2,,
187,0.0072864,0.3335,0.02912,1.5848e-06,,0.12925,0.0,1.8751,3.2796,30.53,3.50118,MCTS,human-vs-human,38,3,,
188,0.0090378,0.35525,0.03967,1.2168e-05,1.8366,0.26689,-0.61779,0.92807,2.1309,18.68,2.94656,MCTS,human-vs-human,38,4,,
189,0.0061463,0.31306,0.020717,0.0,0.73051,0.063101,-2.6328,0.70301,3.3142,33.729,2.1894299999999998,MCTS,human-vs-human,38,5,,
190,0.045479,0.16507,0.019954,1.116,0.47913,0.79585,1.0332,0.28066,3.3023,15.028,2.43461,MCTS,human-vs-human,39,1,,
191,0.06027,0.0,0.018371,1.348,0.66505,0.55297,0.75161,0.9975,2.496,30.019,1.8378899999999998,MCTS,human-vs-human,39,2,,
192,0.17392,0.25,0.018333,0.50419,0.5,0.80001,1.2458,0.87074,3.5,30.0,1.7150100000000001,MCTS,human-vs-human,39,3,,
193,0.01218,0.19877,0.016854,0.37495,0.97964,0.81987,1.0338,0.28565,1.4724,11.807,2.4703199999999996,MCTS,human-vs-human,39,4,,
194,0.0028397,0.38239,0.017253,0.31367,0.92793,0.90383,2.1373,0.603,2.7403,9.2447,1.9380499999999998,MCTS,human-vs-human,39,5,,
195,0.59389,0.0,0.020675,0.36945,0.52778,0.65193,1.0556,0.18125,3.267,15.444,1.7940900000000002,MCTS,human-vs-human,40,1,,
196,0.0047541,0.29616,0.018281,0.41554,0.47308,0.82911,1.3047,0.6029,2.5034,15.025,1.8397999999999999,MCTS,human-vs-human,40,2,,
197,0.041693,0.11622,0.019772,0.0,0.47772,0.8249,1.5973,0.33516,3.1635,30.761,2.2081,MCTS,human-vs-human,40,3,,
198,0.01,0.2,0.02,4.8971,0.54084,0.13653,1.5,0.3,3.3333,30.0,2.32601,MCTS,human-vs-human,40,4,,
199,0.010547,0.3,0.02,0.5,0.76121,0.4,1.1655,0.3,2.5,15.0,1.72896,MCTS,human-vs-human,40,5,,
200,0.022479,0.2,0.03,0.41667,1.1507,1.1382,1.0,0.3,2.7312,15.0,1.82943,MCTS,generalization,1,1,,
201,0.0057674,0.16499,0.01,0.49079,0.94522,1.1052,1.0,0.26133,2.9215,12.814,1.63479,MCTS,generalization,1,2,,
202,0.01,0.19167,0.017761,0.47911,1.0,1.0,1.0,0.3,3.5,10.0,1.70652,MCTS,generalization,1,3,,
203,0.023159,0.17583,0.016677,0.46213,0.86751,1.1327,0.99184,0.51713,3.4415,93.898,1.8661400000000001,MCTS,generalization,1,4,,
204,0.01,0.2,0.02,0.5,0.95833,1.1851,0.94521,0.3,2.8137,15.0,1.75529,MCTS,generalization,1,5,,
205,0.01371,0.0,0.026395,0.65048,0.5,1.8607,1.5,0.6,3.3333,20.512,1.3781,MCTS,generalization,2,1,,
206,0.005,0.10013,0.01,0.40469,0.5,1.4553,1.1839,0.20954,2.5,20.537,1.51822,MCTS,generalization,2,2,,
207,0.0050017,0.098037,0.01,0.49984,0.5255,1.9998,1.4997,0.39986,2.7753,15.246,1.47425,MCTS,generalization,2,3,,
208,0.0050098,0.20049,0.021239,0.50092,0.49972,1.9875,1.7231,0.32653,3.3773,40.013,1.56818,MCTS,generalization,2,4,,
209,0.017917,0.10172,0.016634,0.50919,0.49341,1.1747,1.0398,0.32425,2.8431,20.599,1.33452,MCTS,generalization,2,5,,
210,0.44198,0.16321,0.019792,0.0,0.45401,0.2207,0.98962,0.29326,3.4767,14.917,1.90624,MCTS,generalization,3,1,,
211,0.0085673,0.10426,0.01,0.54448,0.25,0.11238,0.66316,0.33333,3.4741,20.0,2.3127500000000003,MCTS,generalization,3,2,,
212,0.0093622,0.27234,0.030906,0.19515,0.6106,0.17447,0.45473,0.90895,3.4542,19.362,2.2293999999999996,MCTS,generalization,3,3,,
213,0.0049962,0.0,0.01,3.0295,0.49976,-0.3029,0.81799,0.33371,2.5008,15.004,2.22656,MCTS,generalization,3,4,,
214,0.012363,0.28697,0.060374,0.53749,0.42764,0.14642,0.93333,0.32181,3.3367,15.0,2.11053,MCTS,generalization,3,5,,
215,0.02,0.44315,0.14304,0.5,0.5,1.0,1.3333,0.3,2.5,10.0,2.4533300000000002,MCTS,generalization,4,1,,
