,stopping probability,feature drop rate,lapse rate,exploration constant,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
73,0.011917,0.15739,0.025739,0.0,0.55326,1.1065,1.0841,0.27486,3.5197,20.883,2.8688100000000003,MCTS,human-vs-human,15,4,,
74,0.02,0.3,0.02,0.25884,1.0,1.0667,0.99999,1.816,3.3333,30.0,2.3009799999999996,MCTS,human-vs-human,15,5,,
75,0.0071846,0.228,0.014538,0.7048,0.36346,0.72692,1.0603,1.4144,5.4779,12.815,2.5101,MCTS,human-vs-human,16,1,,
76,0.0059048,0.19704,0.030296,0.0,0.5037,0.40518,1.3266,0.29519,2.7918,14.941,2.26025,MCTS,human-vs-human,16,2,,
77,0.021122,0.14957,0.01,4.0755e-06,0.5008,0.80119,0.99814,0.29887,2.4967,16.685,1.69617,MCTS,human-vs-human,16,3,,
78,0.011698,0.29729,0.016499,2.0185e-06,0.48712,0.93854,1.8033,0.40391,3.5104,20.036,1.8987500000000002,MCTS,human-vs-human,16,4,,
79,0.01,0.16675,0.03,0.0,0.5,0.8,1.0,0.43674,2.5,15.0,1.8158400000000001,MCTS,human-vs-human,16,5,,
80,0.0074831,0.21293,0.02,0.43818,0.40392,0.39996,0.99993,0.28702,2.5001,18.334,2.0475799999999995,MCTS,human-vs-human,17,1,,
81,0.037263,0.18131,0.023863,0.50554,0.50223,0.41391,0.93493,-0.0099314,2.4652,18.623,2.29939,MCTS,human-vs-human,17,2,,
82,0.001,0.22953,0.01,0.875,0.42032,0.62,1.4201,0.59028,3.375,11.521,2.90773,MCTS,human-vs-human,17,3,,
83,0.0073864,0.22114,0.024226,0.48407,0.50343,0.66344,0.98958,0.99219,2.9239,15.083,2.2064100000000004,MCTS,human-vs-human,17,4,,
84,0.018666,0.16667,0.020801,0.49718,0.40776,0.57993,0.90673,0.27609,2.8961,14.983,2.52899,MCTS,human-vs-human,17,5,,
85,0.0025268,0.31102,0.020146,0.0,0.50446,0.43964,1.0089,0.0044602,1.1953,14.929,2.30888,MCTS,human-vs-human,18,1,,
86,0.010439,0.16052,0.02,3.2296e-05,0.5,0.5366,0.73725,0.32953,2.0634,15.0,2.5954500000000005,MCTS,human-vs-human,18,2,,
87,0.010583,0.09929,0.01,8.3264e-06,0.562,0.21374,0.65379,0.13333,1.8796,19.0,2.4608800000000004,MCTS,human-vs-human,18,3,,
88,0.018608,0.0,0.017778,8.1633e-07,0.41894,0.1292,0.85078,0.29709,1.7771,18.369,2.7677099999999997,MCTS,human-vs-human,18,4,,
89,0.0088147,0.25,0.02,0.0,0.5,-0.77699,1.0667,0.3,2.5,15.0,2.8893499999999994,MCTS,human-vs-human,18,5,,
90,0.0027122,0.10663,0.022967,0.27206,0.76674,0.60972,0.85053,0.75977,2.8807,15.295,1.8052,MCTS,human-vs-human,19,1,,
91,0.0087591,0.069445,0.021693,0.37921,0.90909,0.78402,1.0247,1.0,2.9444,15.0,1.76492,MCTS,human-vs-human,19,2,,
92,0.013192,0.0,0.01,0.125,0.47318,1.25,0.5,0.74417,1.625,19.0,1.99867,MCTS,human-vs-human,19,3,,
93,0.0034701,0.15715,0.017861,0.26856,0.73455,0.52228,1.3086,0.50058,3.04,17.469,1.60643,MCTS,human-vs-human,19,4,,
94,0.022974,0.16667,0.021252,6.7283e-07,0.6014,0.8,1.2667,0.3,3.3334,15.0,0.9271689999999999,MCTS,human-vs-human,19,5,,
95,0.65791,0.25348,0.01,0.54478,0.3968,0.71647,1.5714,0.64111,6.1178,15.904,1.7302,MCTS,human-vs-human,20,1,,
96,0.018849,0.10681,0.020188,0.25945,0.50397,0.92202,1.1442,0.40772,2.7194,17.231,1.88876,MCTS,human-vs-human,20,2,,
97,0.014076,0.14283,0.020706,0.53704,0.5,0.8,1.1401,0.27827,3.4444,12.778,1.96048,MCTS,human-vs-human,20,3,,
98,0.46944,0.0,0.01,0.31593,0.39848,0.64969,1.1462,0.75869,5.7454,72.577,1.9109500000000001,MCTS,human-vs-human,20,4,,
99,0.02,0.3,0.03,0.5,0.95003,0.8,1.0,0.4,2.5,15.0,1.6930699999999999,MCTS,human-vs-human,20,5,,
100,0.0096502,0.2648,0.019291,0.26064,1.1339,9.5999,0.40719,0.3,3.3333,32.772,1.7839199999999997,MCTS,human-vs-human,21,1,,
101,0.042321,0.1174,0.02648,0.059161,1.0,1.3134,0.45893,0.3,3.0556,15.0,1.5447399999999998,MCTS,human-vs-human,21,2,,
102,0.0079141,0.29989,0.01833,0.38036,0.99984,1.3881,0.92337,0.30012,3.5004,30.002,1.47519,MCTS,human-vs-human,21,3,,
103,0.01,0.23854,0.02,0.2349,1.0,2.2018,0.69873,0.0,2.5,15.0,1.9628900000000002,MCTS,human-vs-human,21,4,,
104,0.0053749,0.099999,0.02,0.5,0.58665,1.6,0.78849,0.3,2.5,15.0,1.73629,MCTS,human-vs-human,21,5,,
105,0.30628,0.18391,0.019014,0.50147,0.47571,0.87146,1.0472,0.34559,4.8572,14.595,2.07999,MCTS,human-vs-human,22,1,,
106,0.0064044,0.28315,0.01532,0.35165,0.49664,1.1836,0.75,0.4625,2.8958,13.0,2.01792,MCTS,human-vs-human,22,2,,
107,0.021284,0.25342,0.06,0.18371,0.81897,1.096,0.84444,0.13206,2.4249,15.0,1.71209,MCTS,human-vs-human,22,3,,
108,0.0059127,0.2,0.020625,0.65111,0.51467,0.68392,0.99999,0.10708,3.3333,15.0,1.86971,MCTS,human-vs-human,22,4,,
109,0.015503,0.11111,0.01,0.38346,0.67181,0.91875,1.0471,0.18897,2.2448,16.056,2.10544,MCTS,human-vs-human,22,5,,
110,0.015,0.2,0.02,0.5,1.1275,0.8,1.0,0.3,3.5,10.0,1.9461300000000001,MCTS,human-vs-human,23,1,,
111,0.013107,0.18923,0.020356,0.52841,1.0198,0.72586,0.98503,0.29027,2.6662,15.317,2.31096,MCTS,human-vs-human,23,2,,
112,0.005,0.30347,0.023333,0.45381,1.5426,0.67796,0.99088,0.3,2.5,15.0,2.346,MCTS,human-vs-human,23,3,,
113,0.1586,0.13002,0.04,0.5,1.0,0.4264,1.0,0.23451,2.5,15.0,1.7673199999999998,MCTS,human-vs-human,23,4,,
114,0.039873,0.20084,0.020067,0.56369,0.99707,0.33926,0.803,0.30217,2.5058,14.973,1.8957199999999996,MCTS,human-vs-human,23,5,,
115,0.014654,0.6,0.01,0.5,0.53539,-0.56539,2.0,0.4,3.0,15.0,2.1758300000000004,MCTS,human-vs-human,24,1,,
116,0.44079,0.078557,0.13759,0.27194,0.25,-0.060744,1.6989,0.81879,2.6025,8.011,2.35094,MCTS,human-vs-human,24,2,,
117,0.013333,0.3,0.02,1.2111e-05,0.25,-0.18287,1.352,0.092197,2.5,20.0,2.4825999999999997,MCTS,human-vs-human,24,3,,
118,0.0027593,0.41508,0.03,0.53012,0.3853,0.4,1.639,0.4,2.5,15.0,2.8286800000000003,MCTS,human-vs-human,24,4,,
119,0.0043506,0.59831,0.01,1.1354e-05,0.25,0.041976,1.5625,0.66563,1.7344,14.864,2.9284100000000004,MCTS,human-vs-human,24,5,,
120,0.001,0.2,0.02,0.5,0.25,0.8,1.0,0.3,2.5,15.0,1.69055,MCTS,human-vs-human,25,1,,
121,0.011263,0.0,0.02376,0.51574,0.25,0.6961,0.96474,0.63788,2.9127,15.333,2.8812,MCTS,human-vs-human,25,2,,
