,pruning threshold,stopping probability,feature drop rate,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
0,5.0,0.001,0.15,0.02,0.5,0.04727,1.0,0.3,2.5,2.0574800000000004,No 4-in-a-row,human-vs-human,1,1,,
1,7.0091,0.0053214,0.15069,0.020046,0.6325,0.53494,0.99771,0.29851,3.1714,1.7909300000000001,No 4-in-a-row,human-vs-human,1,2,,
2,5.85,0.0033409,0.1,0.015,0.5,0.4,1.0,0.18183,2.1776,2.14451,No 4-in-a-row,human-vs-human,1,3,,
3,7.0,0.005,0.3,0.017795,1.0,0.4,1.0,0.3,2.5,1.92425,No 4-in-a-row,human-vs-human,1,4,,
4,9.175,0.0066528,0.12222,0.018333,0.68517,0.72927,1.1227,0.3,2.5,2.31034,No 4-in-a-row,human-vs-human,1,5,,
5,10.0,0.0040339,0.32608,0.024472,0.99097,0.41892,0.99187,0.93489,2.9209,1.90354,No 4-in-a-row,human-vs-human,2,1,,
6,8.9573,0.005,0.4,0.022581,2.0,0.8,0.592,0.3,2.5,1.65927,No 4-in-a-row,human-vs-human,2,2,,
7,8.5914,0.0028651,0.47303,0.022434,1.9919,0.3148,0.69046,0.37911,2.287,2.04759,No 4-in-a-row,human-vs-human,2,3,,
8,9.2887,0.001,0.2,0.016667,1.0,0.57378,1.0247,0.4,2.5,2.40951,No 4-in-a-row,human-vs-human,2,4,,
9,10.0,0.001,0.39259,0.029629,1.1097,0.25303,1.0255,0.61962,4.4369,2.10205,No 4-in-a-row,human-vs-human,2,5,,
10,3.55,0.0075595,0.28489,0.01,0.25,0.8,1.0,0.3,7.0,2.05404,No 4-in-a-row,human-vs-human,3,1,,
11,9.3269,0.001,0.44937,0.01,1.6087,0.92486,1.5043,0.88041,3.3845,1.9124699999999997,No 4-in-a-row,human-vs-human,3,2,,
12,8.1593,0.001,0.45591,0.038333,1.0243,0.825,1.3955,0.47917,3.4375,1.96933,No 4-in-a-row,human-vs-human,3,3,,
