,pruning threshold,stopping probability,feature drop rate,lapse rate,active scaling constant,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
52,5.0,0.01,0.2,0.02,1.362,1.7182100000000002,Optimal weights,human-vs-human,11,3,,
53,4.3321,0.0029623,0.2,0.022847,2.7241,1.8399899999999998,Optimal weights,human-vs-human,11,4,,
54,8.347,0.0059729,0.22404,0.028389,4.7297,1.8734699999999997,Optimal weights,human-vs-human,11,5,,
55,1.7918,0.026667,0.2,0.02,0.68102,1.9530699999999999,Optimal weights,human-vs-human,12,1,,
56,10.0,0.0098081,0.1315,0.021011,1.2368,1.5650600000000001,Optimal weights,human-vs-human,12,2,,
57,8.1963,0.01,0.71098,0.02,1.362,2.02181,Optimal weights,human-vs-human,12,3,,
58,2.5406,0.001,0.19374,0.026667,1.362,2.48635,Optimal weights,human-vs-human,12,4,,
59,10.0,0.0080065,0.3,0.02,0.80103,2.37737,Optimal weights,human-vs-human,12,5,,
60,6.743,0.020389,0.3,0.02,1.362,2.2506,Optimal weights,human-vs-human,13,1,,
61,3.3248,0.0076311,0.38465,0.023333,1.4073,2.2439,Optimal weights,human-vs-human,13,2,,
62,1.1431,0.0073089,0.31358,0.018851,1.0037,2.55769,Optimal weights,human-vs-human,13,3,,
63,5.0,0.02,0.3,0.02,1.362,2.3485400000000003,Optimal weights,human-vs-human,13,4,,
64,2.9981,0.019976,0.52506,0.019802,1.388,2.4090200000000004,Optimal weights,human-vs-human,13,5,,
65,3.0456,0.019998,0.44734,0.020342,2.7222,1.65368,Optimal weights,human-vs-human,14,1,,
66,5.3921,0.0064338,0.38731,0.01,1.8707,2.2623100000000003,Optimal weights,human-vs-human,14,2,,
67,3.8583,0.0047149,0.4777,0.028579,1.8915,2.17052,Optimal weights,human-vs-human,14,3,,
68,3.0,0.0060512,0.36115,0.020563,3.3817,2.2965400000000002,Optimal weights,human-vs-human,14,4,,
69,2.4211,0.01012,0.34254,0.020052,1.3512,1.7292,Optimal weights,human-vs-human,14,5,,
70,5.968,0.001,0.40455,0.019875,2.045,1.7390800000000002,Optimal weights,human-vs-human,15,1,,
71,3.8487,0.01,0.2,0.01,1.4175,1.6892600000000002,Optimal weights,human-vs-human,15,2,,
72,6.3161,0.0080116,0.39532,0.02704,1.7777,1.54923,Optimal weights,human-vs-human,15,3,,
73,7.0384,0.011625,0.39776,0.030544,4.889,2.37623,Optimal weights,human-vs-human,15,4,,
74,3.0,0.01,0.2,0.02,1.362,2.0887700000000002,Optimal weights,human-vs-human,15,5,,
75,5.0,0.005,0.3,0.02,1.362,2.50786,Optimal weights,human-vs-human,16,1,,
76,4.7055,0.0028634,0.3822,0.04,2.5431,2.20205,Optimal weights,human-vs-human,16,2,,
77,8.1609,0.018214,0.5102,0.028376,2.5191,1.43817,Optimal weights,human-vs-human,16,3,,
78,3.8194,0.010259,0.20097,0.02025,1.4226,1.81244,Optimal weights,human-vs-human,16,4,,
79,6.6047,0.016556,0.4185,0.015114,1.9913,1.58045,Optimal weights,human-vs-human,16,5,,
80,0.1,0.14901,0.3,0.025106,0.50659,2.20461,Optimal weights,human-vs-human,17,1,,
81,0.1,0.013108,0.21592,0.02,1.1548,3.0256999999999996,Optimal weights,human-vs-human,17,2,,
82,7.5999,0.012763,0.52007,0.020201,1.3145,2.60985,Optimal weights,human-vs-human,17,3,,
83,8.3245,0.01,0.4,0.020714,1.362,2.18992,Optimal weights,human-vs-human,17,4,,
84,5.0309,0.001,0.6,0.01,1.3082,2.70466,Optimal weights,human-vs-human,17,5,,
85,6.9999,0.020001,0.55,0.01,1.3621,1.92045,Optimal weights,human-vs-human,18,1,,
86,5.7666,0.016136,0.59583,0.01,1.4241,2.41482,Optimal weights,human-vs-human,18,2,,
87,10.0,0.014159,0.29132,0.037751,0.76655,2.45271,Optimal weights,human-vs-human,18,3,,
88,10.0,0.0068814,0.39947,0.026155,1.8148,2.50476,Optimal weights,human-vs-human,18,4,,
89,4.497,0.01762,0.3,0.02,1.0132,2.81079,Optimal weights,human-vs-human,18,5,,
90,7.0,0.012585,0.2,0.02,2.7241,1.5455200000000002,Optimal weights,human-vs-human,19,1,,
91,6.2599,0.001,0.2,0.02,1.362,1.4843600000000001,Optimal weights,human-vs-human,19,2,,
92,10.0,0.001,0.2,0.017985,3.3817,1.51728,Optimal weights,human-vs-human,19,3,,
93,7.392,0.013739,0.2,0.018183,3.3817,1.4537200000000001,Optimal weights,human-vs-human,19,4,,
94,3.3964,0.009884,0.1,0.013333,1.6222,0.800149,Optimal weights,human-vs-human,19,5,,
95,7.0,0.018496,0.3,0.02,2.021,1.6910899999999998,Optimal weights,human-vs-human,20,1,,
96,7.7401,0.001,0.22234,0.03,1.9526,2.2327899999999996,Optimal weights,human-vs-human,20,2,,
97,9.9999,0.0099999,0.3,0.01835,1.9693,1.93583,Optimal weights,human-vs-human,20,3,,
98,7.0,0.01,0.4,0.015,2.7241,1.9687100000000002,Optimal weights,human-vs-human,20,4,,
99,2.6269,0.010325,0.20106,0.011813,1.3597,1.46002,Optimal weights,human-vs-human,20,5,,
100,0.1,0.015452,0.3614,0.01,10.0,1.36418,Optimal weights,human-vs-human,21,1,,
101,8.5709,0.001,0.19384,0.017721,1.9476,1.7586599999999997,Optimal weights,human-vs-human,21,2,,
102,7.0007,0.005477,0.29729,0.019971,8.2693,1.37276,Optimal weights,human-vs-human,21,3,,
103,4.488,0.001,0.19021,0.016579,7.6825,1.7986,Optimal weights,human-vs-human,21,4,,
104,5.5243,1.0,0.40007,0.01,4.4767,1.4875099999999999,Optimal weights,human-vs-human,21,5,,
105,10.0,0.005,0.38662,0.02,1.362,2.4782900000000003,Optimal weights,human-vs-human,22,1,,
106,7.0586,0.021104,0.31723,0.013331,1.3622,1.9623599999999999,Optimal weights,human-vs-human,22,2,,
107,10.0,0.01,0.43141,0.035,1.9572,1.53254,Optimal weights,human-vs-human,22,3,,
108,8.3158,0.010426,0.24329,0.01,1.3473,1.64857,Optimal weights,human-vs-human,22,4,,
109,10.0,0.001,0.54783,0.012252,1.9512,2.0038500000000004,Optimal weights,human-vs-human,22,5,,
110,10.0,0.011667,0.3,0.01771,1.362,1.9957699999999998,Optimal weights,human-vs-human,23,1,,
111,6.6645,0.012277,0.23947,0.02253,1.5199,2.3016599999999996,Optimal weights,human-vs-human,23,2,,
112,3.5428,0.016369,0.30362,0.033602,2.1144,2.2261399999999996,Optimal weights,human-vs-human,23,3,,
113,3.0,0.01,0.2,0.02,1.362,1.7211400000000001,Optimal weights,human-vs-human,23,4,,
114,5.0266,0.0049278,0.1971,0.02018,2.7134,2.31087,Optimal weights,human-vs-human,23,5,,
115,2.9993,0.0050007,0.69917,0.034779,1.3455,2.2803999999999998,Optimal weights,human-vs-human,24,1,,
116,5.2822,0.001,0.77459,0.038335,2.0823,2.7451800000000004,Optimal weights,human-vs-human,24,2,,
