,feature drop rate,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
42,0.3,0.02,0.25,0.4,1.0,0.3,2.5,15.0,2.95701,No tree,human-vs-human,9,3,,
43,0.26164,0.016667,0.41467,0.52329,1.0045,0.54108,2.4512,14.616,2.2914299999999996,No tree,human-vs-human,9,4,,
44,0.44732,0.10707,0.40174,0.35161,0.99983,0.76276,2.6582,30.003,2.4328,No tree,human-vs-human,9,5,,
45,0.27591,0.015,0.5,0.43161,1.0667,2.6991,4.6667,-135.0,2.4049800000000006,No tree,human-vs-human,10,1,,
46,0.30349,0.028233,0.52499,0.5441,1.0326,0.73188,2.7387,-392.34,2.82478,No tree,human-vs-human,10,2,,
47,0.25062,0.03,0.5,0.66452,0.61179,0.4,2.5,15.0,1.9790299999999998,No tree,human-vs-human,10,3,,
48,0.3,0.032373,0.5,0.47422,0.37648,0.6,1.8635,15.0,2.44279,No tree,human-vs-human,10,4,,
49,0.0,0.01,0.25,0.60492,0.53379,0.99941,2.1616,-44.755,2.4438699999999995,No tree,human-vs-human,10,5,,
50,0.28943,0.011049,0.36806,1.0802,1.0,0.3,6.444,15.0,2.47334,No tree,human-vs-human,11,1,,
51,0.4,0.01,0.9462,0.8,0.93437,0.3,2.5,20.0,1.80019,No tree,human-vs-human,11,2,,
52,0.30146,0.012663,0.90326,1.1378,0.73675,0.74876,2.6227,12.559,1.75668,No tree,human-vs-human,11,3,,
53,0.31474,0.01,0.92746,0.90647,0.81033,0.80094,2.5867,-33.125,1.8862799999999997,No tree,human-vs-human,11,4,,
54,0.085978,0.033312,0.771,0.8,0.8,1.0083,3.3333,-88.113,1.83975,No tree,human-vs-human,11,5,,
55,0.07508,0.01,0.52039,0.58736,0.70687,0.56436,3.3821,37.345,1.8572300000000002,No tree,human-vs-human,12,1,,
56,0.17292,0.01,0.48787,0.51245,0.93845,0.90239,3.4624,17.956,1.74681,No tree,human-vs-human,12,2,,
57,0.19973,0.06027,0.39422,1.0027,0.43239,0.31333,4.8741,-46.388,2.11734,No tree,human-vs-human,12,3,,
58,0.16314,0.019556,0.50004,0.78932,0.43949,0.61461,3.5409,11.67,2.48554,No tree,human-vs-human,12,4,,
59,0.14166,0.026152,0.3663,0.62386,0.3067,0.55903,4.0938,4.043,2.0779399999999995,No tree,human-vs-human,12,5,,
